miRNA ID,donor1 2D,donor2 2D,donor1 3D,donor2 3D,Fold change,p-value
hsa-miR-1247-3p,0.07518797,0.062005111,0.037390796,0.071825765,0.8,
hsa-miR-1247-5p,0.118901906,0.117725921,0.049618118,0.051436515,0.43,
hsa-miR-1248,0.034971149,0.016758138,0.013999397,0.007414272,0.41,
hsa-miR-1249-3p,0.139884595,0.212828355,0.044479098,0.126274328,0.48,
hsa-miR-1249-5p,0.043713936,0.042314299,0.01453102,0.025718258,0.47,
hsa-miR-1250-3p,0.183598531,0.218693703,0.064857968,0.227757183,0.73,
hsa-miR-1250-5p,0.036719706,0.031002556,0.022328153,0.023632994,0.68,
hsa-miR-1251-3p,0.050708166,0.025975114,0.014708228,0.012279889,0.35,
hsa-miR-1251-5p,0.206329778,0.50693368,0.754195389,0.505560704,1.77,
hsa-miR-1252-3p,0.034971149,0.020109766,0.035441513,0.015755329,0.93,
hsa-miR-1252-5p,0.167861514,0.408479618,0.124576917,0.138785913,0.46,
hsa-miR-1253,0.104913446,0.253885793,0.11855186,0.137859129,0.71,
hsa-miR-1254,0.001748557,0.007122209,0.009746416,0.009731233,2.2,
hsa-miR-1255a,0.001748557,0.013406511,0.035795928,0.011121409,3.1,
hsa-miR-1255b-5p,0.113656234,0.180149985,0.173131789,0.191380908,1.24,
hsa-miR-1256,0.026228362,0.028488835,0.03490989,0.020389249,1.01,
hsa-miR-1257,0.041965379,0.025137207,0.006733887,0.011816497,0.28,
hsa-miR-1258,0.055953838,0.032259416,0.123690879,0.05931418,2.07,
hsa-miR-125a-3p,0.146878825,0.06787046,0.080629441,0.089202966,0.79,
hsa-miR-125a-5p,7.877251268,7.565461477,13.34833691,9.527571826,1.48,
hsa-miR-125b-1-3p,0.844553244,0.315052998,1.722457514,1.486098239,2.77,
hsa-miR-125b-2-3p,0.311243224,0.153336964,0.119615105,0.178869323,0.64,
hsa-miR-125b-5p,30.01923413,19.84414932,143.0309582,79.08248378,4.45,
hsa-miR-126-3p,40.18359853,37.79169634,8.913363222,16.52293791,0.33,
hsa-miR-126-5p,2.976044763,4.581256022,1.514238628,2.136700649,0.48,
hsa-miR-1260a,0.080433642,0.091750806,0.088780989,0.070667285,0.93,
hsa-miR-1260b,0.101416332,0.085885458,0.125994577,0.122335496,1.33,
hsa-miR-1261,0.031474034,0.017177092,0.018784002,0.017608897,0.75,
hsa-miR-1262,0.076936527,0.042733252,0.040226117,0.03313253,0.61,
hsa-miR-1263,0.017485574,0.022204533,0.037745211,0.017377201,1.39,
hsa-miR-1264,0.022731247,0.013406511,0.015948681,0.006719184,0.63,
hsa-miR-1265,0.057702396,0.064937785,0.042352608,0.045412419,0.72,
hsa-miR-1266-3p,0.024479804,0.011730697,0.009214793,0.007645968,0.47,
hsa-miR-1266-5p,0.13638748,0.064518832,0.065744006,0.036839666,0.51,
hsa-miR-1267,0.036719706,0.018852905,0.012758945,0.012279889,0.45,
hsa-miR-1268a,0.073439412,0.032259416,0.05014974,0.074606117,1.18,
hsa-miR-1268b,0.125896136,0.056558716,0.039162871,0.040546803,0.44,
hsa-miR-1269a,0.024479804,0.016339185,0.018784002,0.016450417,0.86,
hsa-miR-1269b,0.001748557,0.009635929,0.005139019,0.007182576,1.08,
hsa-miR-127-3p,1.369120476,1.274037454,3.973702398,3.385310473,2.78,
hsa-miR-127-5p,0.024479804,0.052788135,0.09888182,0.092678406,2.48,
hsa-miR-1270,0.15037594,0.050693368,0.059896156,0.03776645,0.49,
hsa-miR-1271-3p,0.001748557,0.009635929,0.030834116,0.011353105,3.71,
hsa-miR-1271-5p,0.043713936,0.039800578,0.044124683,0.046802595,1.09,
hsa-miR-1272,0.111907676,0.08002011,0.123513672,0.080398517,1.06,
hsa-miR-1273a,0.038468264,0.131551385,0.017011926,0.054680259,0.42,
hsa-miR-1273c,0.06119951,0.092588713,0.069288157,0.068118628,0.89,
hsa-miR-1273d,0.155621612,0.397586828,0.204497528,0.265523633,0.85,
hsa-miR-1273e,0.06119951,0.03519209,0.037390796,0.027803522,0.68,
hsa-miR-1273f,0.033222591,0.025556161,0.041112155,0.019230769,1.03,
hsa-miR-1273g-3p,0.083930757,0.022623487,0.021442115,0.039388323,0.57,
hsa-miR-1273g-5p,0.040216821,0.028488835,0.017189134,0.017608897,0.51,
hsa-miR-1273h-3p,0.052456723,0.040219532,0.040048909,0.033364226,0.79,
hsa-miR-1273h-5p,0.029725476,0.01089279,0.011695699,0.008804449,0.5,
hsa-miR-1275,0.019234132,0.026813021,0.01311336,0.023401297,0.79,
hsa-miR-1276,0.033222591,0.018433952,0.014176605,0.014365153,0.55,
hsa-miR-1277-3p,0.001748557,0.02304244,0.017897964,0.013670065,1.27,
hsa-miR-1277-5p,0.001748557,0.009216976,0.014708228,0.009036145,2.17,
hsa-miR-1278,0.040216821,0.006284302,0.018784002,0.004170528,0.49,
hsa-miR-1279,0.019234132,0.015501278,0.01967004,0.012511585,0.93,
hsa-miR-128-1-5p,0.20458122,0.043990113,0.018606794,0.032205746,0.2,
hsa-miR-128-2-5p,0.029725476,0.029745695,0.020024455,0.025949954,0.77,
hsa-miR-128-3p,0.674943172,0.941807365,0.960287785,0.858202039,1.12,
hsa-miR-1281,0.050708166,0.039800578,0.011695699,0.034522706,0.51,
hsa-miR-1282,0.066445183,0.072478948,0.032074569,0.068813716,0.73,
hsa-miR-1283,0.017485574,0.006284302,0.007442718,0.007414272,0.63,
hsa-miR-1284,0.059450953,0.025137207,0.019492832,0.022242817,0.49,
hsa-miR-1285-3p,0.036719706,0.015082324,0.022505361,0.012511585,0.68,
hsa-miR-1286,0.036719706,0.023880347,0.02835321,0.012974977,0.68,
hsa-miR-1287-3p,0.034971149,0.026394068,0.032783399,0.027803522,0.99,
hsa-miR-1287-5p,0.192341318,0.709707152,0.28069678,0.430491196,0.79,
hsa-miR-1288-3p,0.020982689,0.025137207,0.017189134,0.024328082,0.9,
hsa-miR-1288-5p,0.027976919,0.013406511,0.013290567,0.008572753,0.53,
hsa-miR-1289,0.020982689,0.007541162,0.011518492,0.00695088,0.65,
hsa-miR-129-1-3p,0.047211051,0.031840463,0.014708228,0.021547729,0.46,
hsa-miR-129-2-3p,0.029725476,0.026394068,0.01453102,0.016218721,0.55,
hsa-miR-129-5p,0.043713936,0.031421509,0.030479701,0.028730306,0.79,
hsa-miR-1290,0.078685085,0.028069881,0.091970725,0.060009268,1.42,
hsa-miR-1291,0.073439412,0.057815577,0.040048909,0.036144578,0.58,
hsa-miR-1292-3p,0.087427872,0.114374293,0.039162871,0.128127896,0.83,
hsa-miR-1292-5p,0.129393251,0.273157652,0.13308288,0.190222428,0.8,
hsa-miR-1293,0.134638923,0.024718254,0.026581134,0.015523633,0.26,
hsa-miR-1294,0.038468264,0.019690812,0.022328153,0.014133457,0.63,
hsa-miR-1295a,0.045462493,0.017177092,0.019847247,0.012743281,0.52,
hsa-miR-1295b-3p,0.019234132,0.025556161,0.018784002,0.018767377,0.84,
hsa-miR-1296-3p,0.047211051,0.045665927,0.044833513,0.046802595,0.99,
hsa-miR-1296-5p,0.055953838,0.025556161,0.021442115,0.029888786,0.63,
hsa-miR-1297,0.029725476,0.017596045,0.030656908,0.012743281,0.92,
hsa-miR-1298-3p,0.055953838,0.022623487,0.047846042,0.012511585,0.77,
hsa-miR-1298-5p,0.040216821,0.031421509,0.080629441,0.078544949,2.22,
hsa-miR-1299,0.062948068,0.017177092,0.034023852,0.028266914,0.78,
hsa-miR-1301-3p,0.024479804,0.027231975,0.076908082,0.027803522,2.02,
hsa-miR-1301-5p,0.022731247,0.011730697,0.009214793,0.016913809,0.76,
hsa-miR-1302,0.054205281,0.038124764,0.02179653,0.030352178,0.56,
hsa-miR-1303,0.052456723,0.023461393,0.067870497,0.055375348,1.62,
hsa-miR-1304-3p,0.087427872,0.082114877,0.035441513,0.070203892,0.62,
hsa-miR-1304-5p,0.052456723,0.017596045,0.036504758,0.021084337,0.82,
hsa-miR-1305,0.029725476,0.036448951,0.013290567,0.032205746,0.69,
hsa-miR-1306-3p,0.101416332,0.05697767,0.033315022,0.037071362,0.44,
hsa-miR-1306-5p,0.438887917,0.258075328,0.041820985,0.063484708,0.15,
hsa-miR-1307-3p,0.248295156,0.190204868,0.2319647,0.351714551,1.33,
hsa-miR-1307-5p,0.094422102,0.080858017,0.087540536,0.068118628,0.89,
hsa-miR-130a-3p,0.202832663,0.16129708,0.538179369,0.329935125,2.38,
hsa-miR-130a-5p,0.071690855,0.015501278,0.024986266,0.030583874,0.64,
hsa-miR-130b-3p,0.14338171,0.108508945,0.152044089,0.116079703,1.06,
hsa-miR-130b-5p,0.174855744,0.360299971,0.299480782,0.185820204,0.91,
hsa-miR-132-3p,0.29375765,0.203192425,1.376902766,1.041705283,4.87,
hsa-miR-132-5p,0.069942298,0.141187314,0.155588241,0.277108434,2.05,
hsa-miR-1321,0.041965379,0.02304244,0.029239248,0.014365153,0.67,
hsa-miR-1322,0.038468264,0.034354183,0.04146657,0.018535681,0.82,
hsa-miR-1323,0.027976919,0.047760694,0.011695699,0.021547729,0.44,
hsa-miR-1324,0.047211051,0.027650928,0.024631851,0.019462465,0.59,
hsa-miR-133a-3p,0.104913446,0.108508945,0.093388386,0.057924004,0.71,
hsa-miR-133a-5p,0.024479804,0.017177092,0.026758342,0.011353105,0.91,
hsa-miR-133b,0.117153348,0.062005111,0.067870497,0.075301205,0.8,
hsa-miR-134-3p,0.045462493,0.018433952,0.033492229,0.023632994,0.89,
hsa-miR-134-5p,0.333974471,0.262264862,1.593450408,1.441149212,5.09,
hsa-miR-1343-3p,0.092673544,0.070803134,0.027112757,0.038229842,0.4,
hsa-miR-1343-5p,0.024479804,0.017177092,0.012227322,0.032437442,1.07,
hsa-miR-135a-3p,0.07518797,0.022204533,0.017189134,0.02386469,0.42,
hsa-miR-135a-5p,0.040216821,0.017177092,0.018252379,0.011121409,0.51,
hsa-miR-135b-3p,0.001748557,0.007960116,0.002303698,0.005560704,0.81,
hsa-miR-135b-5p,0.027976919,0.011730697,0.010632454,0.006024096,0.42,
hsa-miR-136-3p,0.134638923,0.144538942,0.439474757,0.307460612,2.68,
hsa-miR-136-5p,0.141633153,0.07038418,0.107919406,0.065801668,0.82,
hsa-miR-137,0.244798042,0.098454062,0.509471744,0.46339203,2.83,
hsa-miR-138-1-3p,0.062948068,0.034354183,0.045187929,0.042400371,0.9,
hsa-miR-138-2-3p,0.118901906,0.242155097,0.061668232,0.272011121,0.92,
hsa-miR-138-5p,0.155621612,0.452050777,0.328542822,0.543790547,1.44,
hsa-miR-139-3p,0.120650463,0.088818132,0.033315022,0.041473587,0.36,
hsa-miR-139-5p,0.176604301,0.170095102,0.034732682,0.072520853,0.31,
hsa-miR-140-3p,3.376464417,5.277975617,8.237847991,8.146200185,1.89,
hsa-miR-140-5p,0.181849974,0.117725921,0.183941451,0.124884152,1.03,
hsa-miR-141-3p,0.001748557,0.019690812,0.0210877,0.011816497,1.53,
hsa-miR-141-5p,0.0821822,0.020109766,0.019847247,0.011353105,0.31,
hsa-miR-142-3p,15.26490645,16.20679543,3.36410838,5.645041705,0.29,
hsa-miR-142-5p,1.585941598,1.6858687,0.529141784,0.699026877,0.38,
hsa-miR-143-3p,13.32225914,12.00846286,54.0699261,41.52502317,3.77,
hsa-miR-143-5p,0.138136038,0.077506389,0.275380553,0.228220575,2.34,
hsa-miR-144-3p,0.155621612,0.103900457,0.01967004,0.022011121,0.16,
hsa-miR-144-5p,0.246546599,0.462524614,0.136981446,0.24768304,0.54,
hsa-miR-145-3p,0.048959608,0.036448951,0.135740993,0.093141798,2.68,
hsa-miR-145-5p,0.438887917,0.421886128,0.682426326,0.725903614,1.64,
hsa-miR-1468-3p,0.041965379,0.012987557,0.015062643,0.00695088,0.4,
hsa-miR-1468-5p,1.752054555,1.353638611,0.254292853,0.482622799,0.24,
hsa-miR-1469,0.038468264,0.036029997,0.016303096,0.049119555,0.88,
hsa-miR-146a-3p,0.031474034,0.03393523,0.114121671,0.063253012,2.71,
hsa-miR-146a-5p,0.230809582,0.079601156,2.01803973,1.096385542,10.03,
hsa-miR-146b-3p,0.048959608,0.022204533,0.037922419,0.035681186,1.03,
hsa-miR-146b-5p,0.21157545,0.144957895,0.65159221,0.436746988,3.05,
hsa-miR-1470,0.034971149,0.031002556,0.016125888,0.020389249,0.55,
hsa-miR-1471,0.001748557,0.020109766,0.010278039,0.011816497,1.01,
hsa-miR-147a,0.031474034,0.007960116,0.010986869,0.007645968,0.47,
hsa-miR-147b,0.026228362,0.031421509,0.080452234,0.024328082,1.82,
hsa-miR-148a-3p,2.065046337,1.904562403,3.415675781,2.406626506,1.47,
hsa-miR-148a-5p,0.542052806,0.090074993,0.053339477,0.043558851,0.15,
hsa-miR-148b-3p,0.709914321,0.6246596,0.620935302,0.504865616,0.84,
hsa-miR-148b-5p,0.069942298,0.147471616,0.154702203,0.226367006,1.75,
hsa-miR-149-3p,0.085679315,0.049017554,0.029948078,0.033595922,0.47,
hsa-miR-149-5p,0.087427872,0.142025221,0.115539331,0.13021316,1.07,
hsa-miR-150-3p,0.027976919,0.010473836,0.011872907,0.012279889,0.63,
hsa-miR-150-5p,3.192865886,5.084419121,0.536584501,1.243744208,0.22,
hsa-miR-151a-3p,2.040566533,1.915036239,2.610799029,2.419833179,1.27,
hsa-miR-151b/151a-5p,0.169610072,0.135321966,0.13963956,0.117701576,0.84,
hsa-miR-152-3p,0.959958035,0.887343416,3.1888501,2.017608897,2.82,
hsa-miR-152-5p,0.066445183,0.038543718,0.031720154,0.042400371,0.71,
hsa-miR-153-3p,0.027976919,0.000418953,0.010986869,0.009962929,0.74,
hsa-miR-153-5p,0.019234132,0.019271859,0.024809059,0.007645968,0.84,
hsa-miR-1537-3p,0.001748557,0.01089279,0.025340682,0.012511585,2.99,
hsa-miR-1537-5p,0.017485574,0.014244417,0.013999397,0.009267841,0.73,
hsa-miR-1538,0.022731247,0.017177092,0.023214191,0.015060241,0.96,
hsa-miR-1539,0.069942298,0.037705811,0.045010721,0.038229842,0.77,
hsa-miR-154-3p,0.036719706,0.019271859,0.03420106,0.023401297,1.03,
hsa-miR-154-5p,0.07518797,0.183501613,0.198295263,0.253243744,1.75,
hsa-miR-155-3p,0.017485574,0.006703255,0.017720756,0.005097312,0.94,
hsa-miR-155-5p,1.507256513,1.274037454,1.987914444,1.9360519,1.41,
hsa-miR-1587,0.083930757,0.314634044,0.065744006,0.213623726,0.7,
hsa-miR-15a-3p,0.001748557,0.007122209,0.010632454,0.003243744,1.56,
hsa-miR-15a-5p,0.386431194,1.232561062,0.673034325,1.072289157,1.08,
hsa-miR-15b-3p,0.043713936,0.067032553,0.054934345,0.033364226,0.8,
hsa-miR-15b-5p,0.138136038,0.255142654,0.280165157,0.234244671,1.31,
hsa-miR-16-1-3p,0.036719706,0.019690812,0.0421754,0.015291937,1.02,
hsa-miR-16-2-3p,0.325231684,0.137416733,0.240647871,0.251390176,1.06,
hsa-miR-16-5p,21.35338346,21.19066572,34.0417501,30.05861909,1.51,
hsa-miR-17-3p,0.033222591,0.049436508,0.03632755,0.038461538,0.9,
hsa-miR-17-5p,0.153873055,0.148309523,0.037213588,0.067886932,0.35,
hsa-miR-181a-2-3p,0.215072565,0.146214756,0.272368025,0.205746061,1.32,
hsa-miR-181a-3p,0.167861514,0.196070217,0.167461147,0.153846154,0.88,
hsa-miR-181a-5p,4.318936877,2.938958482,7.54638408,6.784754402,1.97,
hsa-miR-181b-2-3p,0.125896136,0.041895345,0.037036381,0.017608897,0.33,
hsa-miR-181b-3p,0.029725476,0.013406511,0.024277436,0.009036145,0.77,
hsa-miR-181b-5p,1.262458472,0.854665047,2.85215573,2.40987025,2.49,
hsa-miR-181c-3p,0.083930757,0.034773137,0.05599759,0.050278035,0.9,
hsa-miR-181c-5p,0.104913446,0.046922787,0.104552462,0.086422614,1.26,
hsa-miR-181d-3p,0.040216821,0.042314299,0.026226719,0.032437442,0.71,
hsa-miR-181d-5p,0.132890365,0.095102434,0.174903865,0.139017609,1.38,
hsa-miR-182-3p,0.038468264,0.008379069,0.012050114,0.006255792,0.39,
hsa-miR-182-5p,0.122399021,0.094683481,0.088249366,0.091751622,0.83,
hsa-miR-1825,0.034971149,0.013825464,0.017720756,0.045412419,1.29,
hsa-miR-1827,0.022731247,0.015501278,0.020733285,0.012048193,0.86,
hsa-miR-183-3p,0.06119951,0.019271859,0.033846645,0.026645042,0.75,
hsa-miR-183-5p,0.033222591,0.012987557,0.0210877,0.018535681,0.86,
hsa-miR-184,0.117153348,0.052788135,0.071591856,0.06510658,0.8,
hsa-miR-185-3p,0.029725476,0.023461393,0.071414648,0.022242817,1.76,
hsa-miR-185-5p,0.181849974,0.224140098,0.496358385,0.387164041,2.18,
hsa-miR-186-3p,0.103164889,0.074992668,0.059718949,0.039156627,0.55,
hsa-miR-186-5p,0.599755202,0.690854246,0.728323085,0.62905468,1.05,
hsa-miR-187-3p,0.050708166,0.047760694,0.030479701,0.041705283,0.73,
hsa-miR-187-5p,0.108410561,0.046503833,0.045542344,0.031047266,0.49,
hsa-miR-188-3p,0.020982689,0.018852905,0.018429587,0.016450417,0.88,
hsa-miR-188-5p,0.052456723,0.018014999,0.014176605,0.013901761,0.4,
hsa-miR-18a-3p,0.089176429,0.054044996,0.023923021,0.032669138,0.4,
hsa-miR-18a-5p,0.209826893,0.085885458,0.032251777,0.037303058,0.24,
hsa-miR-18b-3p,0.019234132,0.011730697,0.005316227,0.008341057,0.44,
hsa-miR-18b-5p,0.019234132,0.020109766,0.02179653,0.013670065,0.9,
hsa-miR-1908-3p,0.104913446,0.057396623,0.023745813,0.036376274,0.37,
hsa-miR-1908-5p,0.071690855,0.053207089,0.042529815,0.072289157,0.92,
hsa-miR-1909-3p,0.041965379,0.037705811,0.040226117,0.034059314,0.93,
hsa-miR-1909-5p,0.017485574,0.011311743,0.007442718,0.009036145,0.57,
hsa-miR-190a-3p,0.029725476,0.007122209,0.014176605,0.003707136,0.49,
hsa-miR-190a-5p,0.064696625,0.039381625,0.057592458,0.03313253,0.87,
hsa-miR-190b,0.022731247,0.014244417,0.025340682,0.016218721,1.12,
hsa-miR-191-3p,0.07518797,0.048598601,0.041643777,0.046802595,0.71,
hsa-miR-191-5p,3.344990383,5.782395576,4.401304248,4.755560704,1,
hsa-miR-1910-3p,0.062948068,0.098873015,0.097109745,0.05931418,0.97,
hsa-miR-1910-5p,0.026228362,0.021366626,0.012227322,0.014365153,0.56,
hsa-miR-1911-3p,0.076936527,0.253885793,0.086831706,0.093141798,0.54,
hsa-miR-1911-5p,0.031474034,0.015501278,0.017011926,0.009962929,0.57,
hsa-miR-1912,0.138136038,0.029745695,0.02179653,0.019694161,0.25,
hsa-miR-1913,0.06119951,0.036448951,0.021264908,0.020389249,0.43,
hsa-miR-1914-3p,0.027976919,0.009635929,0.024100229,0.011121409,0.94,
hsa-miR-1914-5p,0.0821822,0.03519209,0.029593663,0.02734013,0.49,
hsa-miR-1915-3p,0.054205281,0.039381625,0.025872304,0.033595922,0.64,
hsa-miR-1915-5p,0.048959608,0.041895345,0.023391398,0.044253939,0.74,
hsa-miR-192-3p,0.06819374,0.055301856,0.030302493,0.040546803,0.57,
hsa-miR-192-5p,0.253540829,0.369097993,0.351402598,0.300278035,1.05,
hsa-miR-193a-3p,0.054205281,0.030164649,0.026049512,0.031278962,0.68,
hsa-miR-193a-5p,0.442385032,0.267711257,0.811787847,0.924003707,2.44,
hsa-miR-193b-3p,0.111907676,0.060329297,0.236040474,0.263206673,2.9,
hsa-miR-193b-5p,0.309494667,0.515312749,0.166575109,0.291473587,0.56,
hsa-miR-194-3p,0.040216821,0.018433952,0.018784002,0.020620945,0.67,
hsa-miR-194-5p,0.222066795,0.192299636,0.099590651,0.091751622,0.46,
